symbol,date,from,to
SNEX,2026-07-20,2,3
SNEX,2026-03-23,2,3
SNEX,2025-03-24,2,3
SNEX,2023-11-27,2,3
BKSE,2026-07-20,1,3
BKMC,2026-07-20,1,3
BKLC,2026-07-20,1,3
BKIE,2026-07-20,1,3
BKEM,2026-07-20,1,3
LGHL,2026-07-09,6,1
LGHL,2025-11-26,13,1
LGHL,2025-03-26,50,1
LGHL,2023-07-13,50,1
JZ,2026-07-06,20,1
JZ,2025-06-16,10,1
JZ,2024-02-20,3,1
CRWD,2026-07-02,1,4
YXT,2026-07-01,16,1
MLI,2026-07-01,1,2
MLI,2023-10-23,1,2
HON,2026-06-29,2,1
HON,2025-10-30,1000,1061
VRTL,2026-06-25,1,3
VRTL,2009-01-05,1000,1
SMCL,2026-06-25,1,3
SMCL,2026-05-01,20,1
NVDL,2026-06-25,1,3
NVDL,2024-03-13,1,6
MVLL,2026-06-25,1,3
MULL,2026-06-25,1,25
INTW,2026-06-25,1,8
DLLL,2026-06-25,1,8
DD,2026-06-24,3,1
DD,2025-11-03,100,239
DD,2019-06-03,3,1
NAMI,2026-06-23,625,1
POM,2026-06-22,18,1
ORIS,2026-06-22,4,1
ORIS,2025-12-30,20,1
MNDR,2026-06-22,6,1
MNDR,2025-09-25,5,1
MNDR,2025-03-10,8,1
UPLD,2026-06-17,10,1
UPLD,2004-03-25,2.5,1
LILAK,2026-06-17,10,11
LILA,2026-06-17,10,11
CREG,2026-06-16,10,1
CREG,2025-07-18,10,1
CREG,2020-04-15,10,1
CREG,2016-05-26,10,1
CREG,2004-06-23,1,1.31722
TDIC,2026-06-15,25,1
TDIC,2026-04-20,5,1
ATRO,2026-06-15,5,6
ATRO,2018-10-11,20,23
ATRO,2016-10-06,20,23
ATRO,2015-10-06,20,23
ATRO,2014-09-03,5,6
ATRO,2008-10-02,3,4
AMOD,2026-06-15,40,1
XXII,2026-06-12,20,1
XXII,2026-01-26,15,1
XXII,2025-06-20,23,1
XXII,2024-12-17,135,1
XXII,2024-04-02,16,1
XXII,2023-07-05,15,1
XXII,2010-11-30,1,2.782
KLAC,2026-06-12,1,10
AIFA,2026-06-12,6,1
SHPH,2026-06-11,10,1
SHPH,2025-06-16,25,1
SHPH,2024-08-13,8,1
GMM,2026-06-11,50,1
GMM,2024-11-26,15,1
OPAD,2026-06-09,10,1
OPAD,2023-06-13,15,1
ZCMD,2026-06-08,31,1
ZCMD,2026-03-02,8,1
ZCMD,2024-02-29,10,1
SNDU,2026-06-08,1,3
KIDZ,2026-06-08,10,1
KIDZ,2026-03-10,50,1
HUBC,2026-06-08,20,1
HUBC,2026-04-20,50,1
HUBC,2026-01-16,15,1
HUBC,2025-03-31,10,1
HUBC,2023-12-15,10,1
HUBC,2023-03-01,1,0.712434
FEMY,2026-06-08,20,1
CDLX,2026-06-08,10,1
SMSI,2026-06-05,5,1
SMSI,2024-04-11,8,1
SMSI,2016-08-17,4,1
CETX,2026-06-05,10,1
CETX,2025-09-29,15,1
CETX,2024-11-26,35,1
CETX,2024-10-03,60,1
CETX,2023-01-25,35,1
CETX,2019-06-13,8,1
WXM,2026-06-04,10,1
ICCM,2026-06-04,30,1
WDCX,2026-06-03,1,3
SNXX,2026-06-03,1,8
SNXX,2008-05-19,1,19
SILO,2026-06-03,15,1
SILO,2022-09-15,50,1
PW,2026-06-03,10,1
NEBX,2026-06-03,1,3
NBIZ,2026-06-03,10,1
GEVX,2026-06-03,1,3
BEZ,2026-06-03,10,1
APLZ,2026-06-03,5,1
WYHG,2026-06-02,4,1
TSYY,2026-06-02,8,1
PRHI,2026-06-02,7,1
MTYY,2026-06-02,6,1
COYY,2026-06-02,6,1
ZOOZ,2026-06-01,20,1
TBH,2026-06-01,8,1
SMX,2026-06-01,2.285,1
SMX,2026-05-11,20,1
SMX,2026-02-17,4.8828125,1
SMX,2025-11-18,8,1
SMX,2025-10-23,10.89958,1
SMX,2025-08-07,7,1
SMX,2025-06-16,4.1,1
SMX,2025-01-15,28.5,1
SMX,2024-07-15,75,1
SMX,2023-08-21,22,1
SCYX,2026-06-01,8,1
SCYX,2020-07-17,10,1
SBFM,2026-06-01,10,1
SBFM,2024-08-08,20,1
SBFM,2024-04-17,100,1
SBFM,2022-02-09,200,1
SBFM,2020-04-06,20,1
SBFM,2019-02-01,20,1
JDZG,2026-06-01,10,1
JDZG,2026-03-23,25,1
JDZG,2025-06-24,8,1
ELOX,2026-06-01,11,1
ELOX,2022-12-02,40,1
DAIC,2026-06-01,25,1
CDTG,2026-06-01,25,1
SLXN,2026-05-29,10,1
SLXN,2025-07-29,15,1
SLXN,2024-11-29,9,1
HKIT,2026-05-29,3,1
HKIT,2026-04-06,50,1
UXRP,2026-05-28,5,1
SZK,2026-05-28,2,1
SZK,2021-05-25,2,1
SZK,2020-08-18,2,1
SZK,2012-10-05,4,1
SMN,2026-05-28,2,1
SMN,2024-11-07,2,1
SMN,2021-05-25,2,1
SMN,2018-05-24,2,1
SMN,2012-10-05,4,1
SMN,2010-04-15,5,1
SLON,2026-05-28,5,1
SLON,2008-12-02,100,1
SIJ,2026-05-28,2,1
SIJ,2025-06-12,2,1
SIJ,2021-05-25,2,1
SIJ,2021-01-21,2,1
SIJ,2014-01-24,4,1
SIJ,2011-02-25,4,1
SDP,2026-05-28,2,1
SDP,2024-11-07,2,1
SDP,2021-01-21,2,1
SDP,2014-11-06,4,1
SDP,2011-10-13,3,1
SCO,2026-05-28,4,1
SCO,2022-05-26,5,1
SCO,2021-05-26,4,1
SCO,2017-01-12,1,2
SCO,2011-02-25,5,1
SBB,2026-05-28,2,1
SBB,2014-01-24,4,1
RXD,2026-05-28,2,1
RXD,2021-05-25,2,1
RXD,2015-05-20,4,1
RXD,2012-10-05,4,1
RPGL,2026-05-28,40,1
RPGL,2026-02-24,20,1
REW,2026-05-28,2,1
REW,2025-11-20,2,1
REW,2024-04-10,2,1
REW,2022-01-13,2,1
REW,2020-08-18,4,1
REW,2019-05-24,2,1
REW,2014-11-06,4,1
REW,2011-02-25,4,1
NOBL,2026-05-28,1,2
NOBL,2006-02-06,1,1.5
EMTY,2026-05-28,2,1
EFZ,2026-05-28,2,1
COIA,2026-05-28,2,1
BZQ,2026-05-28,2,1
BZQ,2025-11-20,2,1
BZQ,2022-05-27,2,1
BZQ,2021-05-25,2,1
BZQ,2018-05-24,5,1
BZQ,2015-11-13,1,2
BZQ,2012-05-11,4,1
BOIL,2026-05-28,2,1
BOIL,2024-11-07,5,1
BOIL,2023-06-23,20,1
BOIL,2020-04-21,10,1
BOIL,2018-03-20,5,1
BOIL,2015-05-20,4,1
BOIL,2012-05-11,5,1
BIS,2026-05-28,2,1
BIS,2020-08-18,4,1
BIS,2014-11-06,5,1
BIS,2012-10-05,4,1
SDOT,2026-05-27,20,1
SDOT,2025-09-15,10,1
SDOT,2024-10-18,10,1
CUPR,2026-05-27,8,1
WGRX,2026-05-26,50,1
VSA,2026-05-26,10,1
VSA,2025-12-22,50,1
TJGC,2026-05-26,3,1
PRTS,2026-05-26,10,1
UBXG,2026-05-22,25,1
UBXG,2024-11-27,16,1
NAKA,2026-05-22,40,1
LZMH,2026-05-22,20,1
LNAI,2026-05-22,8,1
LNAI,2025-09-30,10,1
IPW,2026-05-22,8,1
IPW,2025-10-27,30,1
ONCO,2026-05-21,10,1
ONCO,2026-03-25,5,1
ONCO,2025-06-13,85,1
ONCO,2024-09-24,40,1
ONCO,2016-09-28,1500,1
ONCO,2006-05-23,1000,1
HAO,2026-05-21,128,1
HAO,2025-01-27,25,1
CMND,2026-05-21,10,1
CMND,2025-12-15,40,1
CMND,2023-11-28,30,1
CMND,2017-07-03,1,3.5
OPTH,2026-05-20,30,1
NCI,2026-05-19,8,1
NCI,2025-06-16,5,1
EZGO,2026-05-19,150,1
EZGO,2025-11-21,25,1
EZGO,2024-04-12,40,1
YYAI,2026-05-18,40,1
YYAI,2025-10-27,50,1
YYAI,2024-06-27,20,1
YMT,2026-05-18,15,1
RETO,2026-05-18,4,1
RETO,2025-11-03,5,1
RETO,2025-03-07,10,1
RETO,2024-03-01,10,1
RETO,2023-05-15,10,1
PPLT,2026-05-18,1,10
PPCB,2026-05-18,25,1
PPCB,2025-01-29,60000,1
PPCB,2023-05-23,1000,1
PPCB,2020-11-19,1000,1
PPCB,2019-06-24,500,1
PALL,2026-05-18,1,5
PALL,2004-11-09,1000,1
MI,2026-05-18,80,1
MI,2024-04-12,50,1
FRGT,2026-05-18,5,1
FRGT,2025-12-15,5,1
FRGT,2025-05-27,4,1
FRGT,2024-09-25,25,1
FRGT,2024-02-05,10,1
FRGT,2023-03-24,10,1
FRGT,2022-02-15,2.2,1
FRGT,2020-10-29,5,1
EZRA,2026-05-18,40,1
ADTX,2026-05-18,27,1
ADTX,2026-03-09,8,1
ADTX,2025-11-03,113,1
ADTX,2025-03-17,250,1
ADTX,2024-10-02,40,1
ADTX,2023-08-18,40,1
ADTX,2022-09-14,50,1
SLMT,2026-05-14,10,1
SLMT,2025-06-26,10,1
SCCO,2026-05-13,1,1.01
